Table A.2 Description of the crustal thickness model presented in this study. 
longtitude	latitude	crustalthickness
70	18	41.9
70.25	18	41.9
70.5	18	41.4
70.75	18	41.2
71	18	41
71.25	18	40.7
71.5	18	40.5
71.75	18	40.2
72	18	40
72.25	18	39.9
72.5	18	39.6
72.75	18	39.2
73	18	38.9
73.25	18	38.6
73.5	18	38.2
73.75	18	37.9
74	18	37.6
74.25	18	37.5
74.5	18	37.4
74.75	18	37.4
75	18	37.5
75.25	18	37.5
75.5	18	37.5
75.75	18	37.5
76	18	37.5
76.25	18	37.5
76.5	18	37.4
76.75	18	36.6
77	18	35.9
77.25	18	35.3
77.5	18	34.6
77.75	18	33.9
78	18	33.4
78.25	18	32.9
78.5	18	32.8
78.75	18	33.4
79	18	33.9
79.25	18	34.3
79.5	18	34.9
79.75	18	35.4
80	18	35.7
80.25	18	36.1
80.5	18	36.4
80.75	18	36.6
81	18	36.8
81.25	18	36.9
81.5	18	37
81.75	18	37
82	18	37
82.25	18	36.9
82.5	18	36.8
82.75	18	36.7
83	18	36.6
83.25	18	36.5
83.5	18	36.8
83.75	18	37.2
84	18	37.5
84.25	18	38.1
84.5	18	38.4
84.75	18	38.4
85	18	38.7
85.25	18	38.8
85.5	18	38.8
85.75	18	38.9
86	18	38.8
86.25	18	38.8
86.5	18	38.7
86.75	18	38.6
87	18	38.4
87.25	18	38.3
87.5	18	38.1
87.75	18	37.9
88	18	37.8
88.25	18	37.6
88.5	18	36.9
88.75	18	37.1
89	18	36.9
89.25	18	36.8
89.5	18	36.6
89.75	18	36.6
90	18	36.4
90.25	18	36.2
90.5	18	35.4
90.75	18	35.2
91	18	35
91.25	18	34.9
91.5	18	34.7
91.75	18	34.8
92	18	34.8
92.25	18	34.6
92.5	18	34.6
92.75	18	34.5
93	18	34.2
93.25	18	34.1
93.5	18	34.2
93.75	18	34.1
94	18	33.9
94.25	18	33.8
94.5	18	33.6
94.75	18	33
95	18	32.9
95.25	18	32.8
95.5	18	32.7
95.75	18	32.8
96	18	32.5
96.25	18	32.7
96.5	18	32.3
96.75	18	32.4
97	18	32.3
97.25	18	32.1
97.5	18	32
97.75	18	32
98	18	31.9
98.25	18	31.8
98.5	18	31.8
98.75	18	31.7
99	18	31.7
99.25	18	31.7
99.5	18	31.6
99.75	18	31.7
100	18	31.6
100.25	18	31.7
100.5	18	31.8
100.75	18	31.8
101	18	32
101.25	18	32
101.5	18	32
101.75	18	32.1
102	18	32.2
102.25	18	32.2
102.5	18	32.2
102.75	18	32.2
103	18	32.1
103.25	18	32
103.5	18	31.9
103.75	18	31.8
104	18	31.8
104.25	18	31.6
104.5	18	31.4
104.75	18	31.2
105	18	31
105.25	18	30.7
105.5	18	30.4
105.75	18	30.1
106	18	29.8
106.25	18	29.7
106.5	18	29.6
106.75	18	29.5
107	18	29.5
107.25	18	29.6
107.5	18	29.6
107.75	18	29.7
108	18	29.8
108.25	18	29.9
108.5	18	30
108.75	18	30.1
109	18	30.1
109.25	18	30.2
109.5	18	30.3
109.75	18	30.2
110	18	30.1
110.25	18	30
110.5	18	29.8
110.75	18	29.6
111	18	29.4
111.25	18	29.3
111.5	18	29.2
111.75	18	29.1
112	18	28.7
112.25	18	28.6
112.5	18	28.7
112.75	18	28.6
113	18	28.5
113.25	18	28.4
113.5	18	28.3
113.75	18	28
114	18	28.2
114.25	18	28.2
114.5	18	28.4
114.75	18	28.6
115	18	28.2
115.25	18	30.9
115.5	18	29.7
115.75	18	30.1
116	18	30
116.25	18	29.8
116.5	18	30.6
116.75	18	30.5
117	18	30.2
117.25	18	30.3
117.5	18	29.7
117.75	18	29.8
118	18	29.3
118.25	18	29.5
118.5	18	30.1
118.75	18	30.1
119	18	29.9
119.25	18	29.1
119.5	18	28.9
119.75	18	28.6
120	18	28.3
120.25	18	28.1
120.5	18	29.4
120.75	18	29.6
121	18	28.8
121.25	18	28.5
121.5	18	29.3
121.75	18	26.7
122	18	24.9
122.25	18	24
122.5	18	23.3
122.75	18	22.7
123	18	22.2
123.25	18	21.7
123.5	18	21.2
123.75	18	20.7
124	18	20.3
124.25	18	19.9
124.5	18	20.1
124.75	18	19.6
125	18	19.3
125.25	18	19.1
125.5	18	18.9
125.75	18	18.7
126	18	18.6
126.25	18	18.5
126.5	18	18.4
126.75	18	18.4
127	18	18.7
127.25	18	18.2
127.5	18	18
127.75	18	17.4
128	18	17.5
128.25	18	17.7
128.5	18	17.4
128.75	18	17.8
129	18	18.2
129.25	18	17.4
129.5	18	19.8
129.75	18	19.2
130	18	21
130.25	18	22.6
130.5	18	20.5
130.75	18	20.4
131	18	21.2
131.25	18	20.5
131.5	18	20.3
131.75	18	20.2
132	18	19.9
132.25	18	19.8
132.5	18	19.8
132.75	18	19.8
133	18	19.8
133.25	18	19.8
133.5	18	20.6
133.75	18	20.6
134	18	20.7
134.25	18	20.7
134.5	18	17.8
134.75	18	17.5
135	18	17.5
70	18.25	41.9
70.25	18.25	41.5
70.5	18.25	41.3
70.75	18.25	41
71	18.25	40.8
71.25	18.25	41
71.5	18.25	40.7
71.75	18.25	40.4
72	18.25	40.1
72.25	18.25	40
72.5	18.25	39.7
72.75	18.25	39.3
73	18.25	38.9
73.25	18.25	38.6
73.5	18.25	38.2
73.75	18.25	37.9
74	18.25	37.6
74.25	18.25	37.5
74.5	18.25	37.3
74.75	18.25	37.3
75	18.25	37.3
75.25	18.25	37.3
75.5	18.25	37.3
75.75	18.25	37.3
76	18.25	37.3
76.25	18.25	37.3
76.5	18.25	37.3
76.75	18.25	36.6
77	18.25	36
77.25	18.25	35.4
77.5	18.25	34.7
77.75	18.25	34.1
78	18.25	33.5
78.25	18.25	33
78.5	18.25	33.1
78.75	18.25	33.7
79	18.25	34.3
79.25	18.25	34.8
79.5	18.25	35.3
79.75	18.25	35.8
80	18.25	36.2
80.25	18.25	36.6
80.5	18.25	36.9
80.75	18.25	37.1
81	18.25	37.3
81.25	18.25	37.4
81.5	18.25	37.5
81.75	18.25	37.6
82	18.25	37.7
82.25	18.25	37.7
82.5	18.25	37.6
82.75	18.25	37.6
83	18.25	37.5
83.25	18.25	37.5
83.5	18.25	37.6
83.75	18.25	37.8
84	18.25	38.4
84.25	18.25	38.9
84.5	18.25	39.1
84.75	18.25	39.3
85	18.25	39.2
85.25	18.25	39.3
85.5	18.25	39.5
85.75	18.25	39.5
